software,name,value,description,label
hadoop-common,fs.s3a.s3guard.ddb.region,,"AWS DynamoDB region to connect to. An up-to-date list is provided in the AWS Documentation: regions and endpoints. Without this property, the S3Guard will operate table in the associated S3 bucket region.",environment
hadoop-common,fs.s3a.s3guard.ddb.table,,"The DynamoDB table name to operate. Without this property, the respective S3 bucket name will be used.",manageability
hadoop-common,fs.s3a.s3guard.ddb.table.create,FALSE,"If true, the S3A client will create the table if it does not already exist.",manageability
hadoop-common,fs.s3a.s3guard.ddb.table.capacity.read,500,"Provisioned throughput requirements for read operations in terms of capacity units for the DynamoDB table. This config value will only be used when creating a new DynamoDB table, though later you can manually provision by increasing or decreasing read capacity as needed for existing tables. See DynamoDB documents for more information.",performance
hadoop-common,fs.s3a.s3guard.ddb.table.capacity.write,100,Provisioned throughput requirements for write operations in terms of capacity units for the DynamoDB table. Refer to related config fs.s3a.s3guard.ddb.table.capacity.read before usage.,performance
hadoop-common,fs.s3a.s3guard.ddb.max.retries,9,"Max retries on batched DynamoDB operations before giving up and throwing an IOException. Each retry is delayed with an exponential backoff timer which starts at 100 milliseconds and approximately doubles each time. The minimum wait before throwing an exception is sum(100, 200, 400, 800, .. 100*2^N-1 ) == 100 * ((2^N)-1) So N = 9 yields at least 51.1 seconds (51,100) milliseconds of blocking before throwing an IOException.",reliability
hadoop-common,fs.s3a.s3guard.ddb.background.sleep,25,Length (in milliseconds) of pause between each batch of deletes when pruning metadata. Prevents prune operations (which can typically be low priority background operations) from overly interfering with other I/O operations.,reliability
hadoop-common,fs.AbstractFileSystem.s3a.impl,org.apache.hadoop.fs.s3a.S3A,The implementation class of the S3A AbstractFileSystem.,manageability
hadoop-common,fs.wasb.impl,org.apache.hadoop.fs.azure.NativeAzureFileSystem,The implementation class of the Native Azure Filesystem,manageability
hadoop-common,fs.wasbs.impl,org.apache.hadoop.fs.azure.NativeAzureFileSystem$Secure,The implementation class of the Secure Native Azure Filesystem,manageability
hadoop-common,fs.azure.secure.mode,FALSE,"Config flag to identify the mode in which fs.azure.NativeAzureFileSystem needs to run under. Setting it ""true"" would make fs.azure.NativeAzureFileSystem use SAS keys to communicate with Azure storage.",security
hadoop-common,fs.azure.local.sas.key.mode,FALSE,"Works in conjuction with fs.azure.secure.mode. Setting this config to true results in fs.azure.NativeAzureFileSystem using the local SAS key generation where the SAS keys are generating in the same process as fs.azure.NativeAzureFileSystem. If fs.azure.secure.mode flag is set to false, this flag has no effect.",security
hadoop-common,fs.azure.sas.expiry.period,90d,"The default value to be used for expiration period for SAS keys generated. Can use the following suffix (case insensitive): ms(millis), s(sec), m(min), h(hour), d(day) to specify the time (such as 2s, 2m, 1h, etc.).",security
hadoop-common,fs.azure.authorization,FALSE,"Config flag to enable authorization support in WASB. Setting it to ""true"" enables authorization support to WASB. Currently WASB authorization requires a remote service to provide authorization that needs to be specified via fs.azure.authorization.remote.service.url configuration",security
hadoop-common,fs.azure.authorization.caching.enable,TRUE,Config flag to enable caching of authorization results and saskeys in WASB. This flag is relevant only when fs.azure.authorization is enabled.,security
hadoop-common,fs.azure.saskey.usecontainersaskeyforallaccess,TRUE,Use container saskey for access to all blobs within the container. Blob-specific saskeys are not used when this setting is enabled. This setting provides better performance compared to blob-specific saskeys.,security
hadoop-common,io.seqfile.compress.blocksize,1000000,The minimum block size for compression in block compressed SequenceFiles.,performance
hadoop-common,io.mapfile.bloom.size,1048576,"The size of BloomFilter-s used in BloomMapFile. Each time this many keys is appended the next BloomFilter will be created (inside a DynamicBloomFilter). Larger values minimize the number of filters, which slightly increases the performance, but may waste too much space if the total number of keys is usually much smaller than this number.",performance
hadoop-common,io.mapfile.bloom.error.rate,0.005,"The rate of false positives in BloomFilter-s used in BloomMapFile. As this value decreases, the size of BloomFilter-s increases exponentially. This value is the probability of encountering false positives (default is 0.5%).",performance
hadoop-common,hadoop.util.hash.type,murmur,The default implementation of Hash. Currently this can take one of the two values: 'murmur' to select MurmurHash and 'jenkins' to select JenkinsHash.,manageability
hadoop-common,ipc.client.idlethreshold,4000,Defines the threshold number of connections after which connections will be inspected for idleness.,reliability
hadoop-common,ipc.client.kill.max,10,Defines the maximum number of clients to disconnect in one go.,reliability
hadoop-common,ipc.client.connection.maxidletime,10000,The maximum time in msec after which a client will bring down the connection to the server.,reliability
hadoop-common,ipc.client.connect.max.retries,10,Indicates the number of retries a client will make to establish a server connection.,reliability
hadoop-common,ipc.client.connect.retry.interval,1000,Indicates the number of milliseconds a client will wait for before retrying to establish a server connection.,reliability
hadoop-common,ipc.client.connect.timeout,20000,Indicates the number of milliseconds a client will wait for the socket to establish a server connection.,reliability
hadoop-common,ipc.client.connect.max.retries.on.timeouts,45,Indicates the number of retries a client will make on socket timeout to establish a server connection.,reliability
hadoop-common,ipc.client.tcpnodelay,TRUE,Use TCP_NODELAY flag to bypass Nagle's algorithm transmission delays.,performance
hadoop-common,ipc.client.low-latency,FALSE,Use low-latency QoS markers for IPC connections.,performance
hadoop-common,ipc.client.ping,TRUE,"Send a ping to the server when timeout on reading the response, if set to true. If no failure is detected, the client retries until at least a byte is read or the time given by ipc.client.rpc-timeout.ms is passed.",reliability
hadoop-common,ipc.ping.interval,60000,"Timeout on waiting response from server, in milliseconds. The client will send ping when the interval is passed without receiving bytes, if ipc.client.ping is set to true.",reliability
hadoop-common,ipc.client.rpc-timeout.ms,0,"Timeout on waiting response from server, in milliseconds. If ipc.client.ping is set to true and this rpc-timeout is greater than the value of ipc.ping.interval, the effective value of the rpc-timeout is rounded up to multiple of ipc.ping.interval.",reliability
hadoop-common,ipc.server.listen.queue.size,128,Indicates the length of the listen queue for servers accepting client connections.,performance
hadoop-common,ipc.server.log.slow.rpc,FALSE,This setting is useful to troubleshoot performance issues for various services. If this value is set to true then we log requests that fall into 99th percentile as well as increment RpcSlowCalls counter.,debuggability
hadoop-common,ipc.maximum.data.length,67108864,This indicates the maximum IPC message length (bytes) that can be accepted by the server. Messages larger than this value are rejected by the immediately to avoid possible OOMs. This setting should rarely need to be changed.,reliability
hadoop-common,ipc.maximum.response.length,134217728,This indicates the maximum IPC message length (bytes) that can be accepted by the client. Messages larger than this value are rejected immediately to avoid possible OOMs. This setting should rarely need to be changed. Set to 0 to disable.,reliability
hadoop-common,hadoop.security.impersonation.provider.class,,"A class which implements ImpersonationProvider interface, used to authorize whether one user can impersonate a specific user. If not specified, the DefaultImpersonationProvider will be used. If a class is specified, then that class will be used to determine the impersonation capability.",security
hadoop-common,hadoop.rpc.socket.factory.class.default,org.apache.hadoop.net.StandardSocketFactory,"Default SocketFactory to use. This parameter is expected to be formatted as ""package.FactoryClassName"".",environment
hadoop-common,hadoop.rpc.socket.factory.class.ClientProtocol,,"SocketFactory to use to connect to a DFS. If null or empty, use hadoop.rpc.socket.class.default. This socket factory is also used by DFSClient to create sockets to DataNodes.",environment
hadoop-common,hadoop.socks.server,,Address (host:port) of the SOCKS server to be used by the SocksSocketFactory.,environment
hadoop-common,net.topology.node.switch.mapping.impl,org.apache.hadoop.net.ScriptBasedMapping,"The default implementation of the DNSToSwitchMapping. It invokes a script specified in net.topology.script.file.name to resolve node names. If the value for net.topology.script.file.name is not set, the default value of DEFAULT_RACK is returned for all node names.",manageability
hadoop-common,net.topology.impl,org.apache.hadoop.net.NetworkTopology,The default implementation of NetworkTopology which is classic three layer one.,manageability
hadoop-common,net.topology.script.file.name,,"The script name that should be invoked to resolve DNS names to NetworkTopology names. Example: the script would take host.foo.bar as an argument, and return /rack1 as the output.",environment
hadoop-common,net.topology.script.number.args,100,The max number of args that the script configured with net.topology.script.file.name should be run with. Each arg is an IP address.,manageability
hadoop-common,net.topology.table.file.name,,"The file name for a topology file, which is used when the net.topology.node.switch.mapping.impl property is set to org.apache.hadoop.net.TableMapping. The file format is a two column text file, with columns separated by whitespace. The first column is a DNS or IP address and the second column specifies the rack where the address maps. If no entry corresponding to a host in the cluster is found, then /default-rack is assumed.",environment
hadoop-common,file.stream-buffer-size,4096,"The size of buffer to stream files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",performance
hadoop-common,file.bytes-per-checksum,512,The number of bytes per checksum. Must not be larger than file.stream-buffer-size,performance
hadoop-common,file.client-write-packet-size,65536,Packet size for clients to write,performance
hadoop-common,file.blocksize,67108864,Block size,performance
hadoop-common,file.replication,1,Replication factor,reliability
hadoop-common,s3.stream-buffer-size,4096,"The size of buffer to stream files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",performance
hadoop-common,s3.bytes-per-checksum,512,The number of bytes per checksum. Must not be larger than s3.stream-buffer-size,performance
hadoop-common,s3.client-write-packet-size,65536,Packet size for clients to write,performance
hadoop-common,s3.blocksize,67108864,Block size,performance
hadoop-common,s3.replication,3,Replication factor,reliability
hadoop-common,s3native.stream-buffer-size,4096,"The size of buffer to stream files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",performance
hadoop-common,s3native.bytes-per-checksum,512,The number of bytes per checksum. Must not be larger than s3native.stream-buffer-size,performance
hadoop-common,s3native.client-write-packet-size,65536,Packet size for clients to write,performance
hadoop-common,s3native.blocksize,67108864,Block size,performance
hadoop-common,s3native.replication,3,Replication factor,reliability
hadoop-common,ftp.stream-buffer-size,4096,"The size of buffer to stream files. The size of this buffer should probably be a multiple of hardware page size (4096 on Intel x86), and it determines how much data is buffered during read and write operations.",performance
hadoop-common,ftp.bytes-per-checksum,512,The number of bytes per checksum. Must not be larger than ftp.stream-buffer-size,performance
hadoop-common,ftp.client-write-packet-size,65536,Packet size for clients to write,performance
hadoop-common,ftp.blocksize,67108864,Block size,performance
hadoop-common,ftp.replication,3,Replication factor,reliability
hadoop-common,tfile.io.chunk.size,1048576,Value chunk size in bytes. Default to 1MB. Values of the length less than the chunk size is guaranteed to have known value length in read time (See also TFile.Reader.Scanner.Entry.isValueLengthKnown()).,performance
hadoop-common,tfile.fs.output.buffer.size,262144,Buffer size used for FSDataOutputStream in bytes.,performance
hadoop-common,tfile.fs.input.buffer.size,262144,Buffer size used for FSDataInputStream in bytes.,performance
hadoop-common,hadoop.http.authentication.type,simple,Defines authentication used for Oozie HTTP endpoint. Supported values are: simple | kerberos | #AUTHENTICATION_HANDLER_CLASSNAME#,security
hadoop-common,hadoop.http.authentication.token.validity,36000,Indicates how long (in seconds) an authentication token is valid before it has to be renewed.,security
hadoop-common,hadoop.http.authentication.signature.secret.file,${user.home}/hadoop-http-auth-signature-secret,The signature secret for signing the authentication tokens. The same secret should be used for JT/NN/DN/TT configurations.,security
hadoop-common,hadoop.http.authentication.cookie.domain,,"The domain to use for the HTTP cookie that stores the authentication token. In order to authentiation to work correctly across all Hadoop nodes web-consoles the domain must be correctly set. IMPORTANT: when using IP addresses, browsers ignore cookies with domain settings. For this setting to work properly all nodes in the cluster must be configured to generate URLs with hostname.domain names on it.",security
hadoop-common,hadoop.http.authentication.simple.anonymous.allowed,TRUE,Indicates if anonymous requests are allowed when using 'simple' authentication.,security
hadoop-common,hadoop.http.authentication.kerberos.principal,HTTP/_HOST@LOCALHOST,Indicates the Kerberos principal to be used for HTTP endpoint. The principal MUST start with 'HTTP/' as per Kerberos HTTP SPNEGO specification.,security
hadoop-common,hadoop.http.authentication.kerberos.keytab,${user.home}/hadoop.keytab,Location of the keytab file with the credentials for the principal. Referring to the same keytab file Oozie uses for its Kerberos credentials for Hadoop.,security
hadoop-common,hadoop.http.cross-origin.enabled,FALSE,Enable/disable the cross-origin (CORS) filter.,manageability
hadoop-common,hadoop.http.cross-origin.allowed-origins,*,Comma separated list of origins that are allowed for web services needing cross-origin (CORS) support. Wildcards (*) and patterns allowed,manageability
hadoop-common,hadoop.http.cross-origin.allowed-methods,"GET,POST,HEAD",Comma separated list of methods that are allowed for web services needing cross-origin (CORS) support.,manageability
hadoop-common,hadoop.http.cross-origin.allowed-headers,"X-Requested-With,Content-Type,Accept,Origin",Comma separated list of headers that are allowed for web services needing cross-origin (CORS) support.,manageability
hadoop-common,hadoop.http.cross-origin.max-age,1800,The number of seconds a pre-flighted request can be cached for web services needing cross-origin (CORS) support.,reliability
hadoop-common,dfs.ha.fencing.methods,,List of fencing methods to use for service fencing. May contain builtin methods (eg shell and sshfence) or user-defined method.,reliability
hadoop-common,dfs.ha.fencing.ssh.connect-timeout,30000,"SSH connection timeout, in milliseconds, to use with the builtin sshfence fencer.",reliability
hadoop-common,dfs.ha.fencing.ssh.private-key-files,,The SSH private key files to use with the builtin sshfence fencer.,security
hadoop-common,hadoop.http.staticuser.user,dr.who,"The user name to filter as, on static web filters while rendering content. An example use is the HDFS web UI (user to be used for browsing files).",manageability
hadoop-common,ha.zookeeper.quorum,,"A list of ZooKeeper server addresses, separated by commas, that are to be used by the ZKFailoverController in automatic failover.",environment
hadoop-common,ha.zookeeper.session-timeout.ms,10000,"The session timeout to use when the ZKFC connects to ZooKeeper. Setting this value to a lower value implies that server crashes will be detected more quickly, but risks triggering failover too aggressively in the case of a transient error or network blip.",reliability
hadoop-common,ha.zookeeper.parent-znode,/hadoop-ha,"The ZooKeeper znode under which the ZK failover controller stores its information. Note that the nameservice ID is automatically appended to this znode, so it is not normally necessary to configure this, even in a federated environment.",reliability
hadoop-common,ha.zookeeper.acl,world:anyone:rwcda,"A comma-separated list of ZooKeeper ACLs to apply to the znodes used by automatic failover. These ACLs are specified in the same format as used by the ZooKeeper CLI. If the ACL itself contains secrets, you may instead specify a path to a file, prefixed with the '@' symbol, and the value of this configuration will be loaded from within.",security
hadoop-common,ha.zookeeper.auth,,"A comma-separated list of ZooKeeper authentications to add when connecting to ZooKeeper. These are specified in the same format as used by the ""addauth"" command in the ZK CLI. It is important that the authentications specified here are sufficient to access znodes with the ACL specified in ha.zookeeper.acl. If the auths contain secrets, you may instead specify a path to a file, prefixed with the '@' symbol, and the value of this configuration will be loaded from within.",security
hadoop-common,hadoop.ssl.keystores.factory.class,org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory,The keystores factory to use for retrieving certificates.,security
hadoop-common,hadoop.ssl.require.client.cert,FALSE,Whether client certificates are required,security
hadoop-common,hadoop.ssl.hostname.verifier,DEFAULT,"The hostname verifier to provide for HttpsURLConnections. Valid values are: DEFAULT, STRICT, STRICT_IE6, DEFAULT_AND_LOCALHOST and ALLOW_ALL",security
hadoop-common,hadoop.ssl.server.conf,ssl-server.xml,"Resource file from which ssl server keystore information will be extracted. This file is looked up in the classpath, typically it should be in Hadoop conf/ directory.",security
hadoop-common,hadoop.ssl.client.conf,ssl-client.xml,"Resource file from which ssl client keystore information will be extracted This file is looked up in the classpath, typically it should be in Hadoop conf/ directory.",security
hadoop-common,hadoop.ssl.enabled,FALSE,Deprecated. Use dfs.http.policy and yarn.http.policy instead.,security
hadoop-common,hadoop.ssl.enabled.protocols,"TLSv1,SSLv2Hello,TLSv1.1,TLSv1.2",The supported SSL protocols.,security
hadoop-common,hadoop.jetty.logs.serve.aliases,TRUE,Enable/Disable aliases serving from jetty,manageability
hadoop-common,fs.permissions.umask-mode,22,"The umask used when creating files and directories. Can be in octal or in symbolic. Examples are: ""022"" (octal for u=rwx,g=r-x,o=r-x in symbolic), or ""u=rwx,g=rwx,o="" (symbolic for 007 in octal).",security
hadoop-common,ha.health-monitor.connect-retry-interval.ms,1000,How often to retry connecting to the service.,reliability
hadoop-common,ha.health-monitor.check-interval.ms,1000,How often to check the service.,reliability
hadoop-common,ha.health-monitor.sleep-after-disconnect.ms,1000,How long to sleep after an unexpected RPC error.,reliability
hadoop-common,ha.health-monitor.rpc-timeout.ms,45000,Timeout for the actual monitorHealth() calls.,reliability
hadoop-common,ha.failover-controller.new-active.rpc-timeout.ms,60000,Timeout that the FC waits for the new active to become active,reliability
hadoop-common,ha.failover-controller.graceful-fence.rpc-timeout.ms,5000,Timeout that the FC waits for the old active to go to standby,reliability
hadoop-common,ha.failover-controller.graceful-fence.connection.retries,1,FC connection retries for graceful fencing,reliability
hadoop-common,ha.failover-controller.cli-check.rpc-timeout.ms,20000,"Timeout that the CLI (manual) FC waits for monitorHealth, getServiceState",reliability
hadoop-common,ipc.client.fallback-to-simple-auth-allowed,FALSE,"When a client is configured to attempt a secure connection, but attempts to connect to an insecure server, that server may instruct the client to switch to SASL SIMPLE (unsecure) authentication. This setting controls whether or not the client will accept this instruction from the server. When false (the default), the client will not allow the fallback to SIMPLE authentication, and will abort the connection.",security
hadoop-common,fs.client.resolve.remote.symlinks,TRUE,"Whether to resolve symlinks when accessing a remote Hadoop filesystem. Setting this to false causes an exception to be thrown upon encountering a symlink. This setting does not apply to local filesystems, which automatically resolve local symlinks.",reliability
hadoop-common,nfs.exports.allowed.hosts,* rw,"By default, the export can be mounted by any client. The value string contains machine name and access privilege, separated by whitespace characters. The machine name format can be a single host, a Java regular expression, or an IPv4 address. The access privilege uses rw or ro to specify read/write or read-only access of the machines to exports. If the access privilege is not provided, the default is read-only. Entries are separated by "";"". For example: ""192.168.0.0/22 rw ; host.*\.example\.com ; host1.test.org ro;"". Only the NFS gateway needs to restart after this property is updated.",security
hadoop-common,hadoop.user.group.static.mapping.overrides,dr.who=;,"Static mapping of user to groups. This will override the groups if available in the system for the specified user. In other words, groups look-up will not happen for these users, instead groups mapped in this configuration will be used. Mapping should be in this format. user1=group1,group2;user2=;user3=group2; Default, ""dr.who=;"" will consider ""dr.who"" as user without groups.",security
hadoop-common,rpc.metrics.quantile.enable,FALSE,"Setting this property to true and rpc.metrics.percentiles.intervals to a comma-separated list of the granularity in seconds, the 50/75/90/95/99th percentile latency for rpc queue/processing time in milliseconds are added to rpc metrics.",reliability
hadoop-common,rpc.metrics.percentiles.intervals,,A comma-separated list of the granularity in seconds for the metrics which describe the 50/75/90/95/99th percentile latency for rpc queue/processing time. The metrics are outputted if rpc.metrics.quantile.enable is set to true.,reliability
hadoop-common,hadoop.security.crypto.codec.classes.EXAMPLECIPHERSUITE,,"The prefix for a given crypto codec, contains a comma-separated list of implementation classes for a given crypto codec (eg EXAMPLECIPHERSUITE). The first implementation will be used if available, others are fallbacks.",security
hadoop-common,hadoop.security.crypto.codec.classes.aes.ctr.nopadding,"org.apache.hadoop.crypto.OpensslAesCtrCryptoCodec, org.apache.hadoop.crypto.JceAesCtrCryptoCodec","Comma-separated list of crypto codec implementations for AES/CTR/NoPadding. The first implementation will be used if available, others are fallbacks.",security
hadoop-common,hadoop.security.crypto.cipher.suite,AES/CTR/NoPadding,Cipher suite for crypto codec.,security
hadoop-common,hadoop.security.crypto.jce.provider,,The JCE provider name used in CryptoCodec.,security
hadoop-common,hadoop.security.crypto.jceks.key.serialfilter,,"Enhanced KeyStore Mechanisms in JDK 8u171 introduced jceks.key.serialFilter. If jceks.key.serialFilter is configured, the JCEKS KeyStore uses it during the deserialization of the encrypted Key object stored inside a SecretKeyEntry. If jceks.key.serialFilter is not configured it will cause an error when recovering keystore file in KeyProviderFactory when recovering key from keystore file using JDK 8u171 or newer. The filter pattern uses the same format as jdk.serialFilter. The value of this property will be used as the following: 1. The value of jceks.key.serialFilter system property takes precedence over the value of this property. 2. In the absence of jceks.key.serialFilter system property the value of this property will be set as the value of jceks.key.serialFilter. 3. If the value of this property and jceks.key.serialFilter system property has not been set, org.apache.hadoop.crypto.key.KeyProvider sets a default value for jceks.key.serialFilter.",security
hadoop-common,hadoop.security.crypto.buffer.size,8192,The buffer size used by CryptoInputStream and CryptoOutputStream.,performance
hadoop-common,hadoop.security.java.secure.random.algorithm,SHA1PRNG,The java secure random algorithm.,security
hadoop-common,hadoop.security.secure.random.impl,,Implementation of secure random.,security
hadoop-common,hadoop.security.random.device.file.path,/dev/urandom,OS security random device file path.,security
hadoop-common,hadoop.security.key.provider.path,,"The KeyProvider to use when managing zone keys, and interacting with encryption keys when reading and writing to an encryption zone. For hdfs clients, the provider path will be same as namenode's provider path.",security
hadoop-common,fs.har.impl.disable.cache,TRUE,Don't cache 'har' filesystem instances.,manageability
hadoop-common,hadoop.security.kms.client.authentication.retry-count,1,Number of time to retry connecting to KMS on authentication failure,reliability
hadoop-common,hadoop.security.kms.client.encrypted.key.cache.size,500,Size of the EncryptedKeyVersion cache Queue for each key,performance
hadoop-common,hadoop.security.kms.client.encrypted.key.cache.low-watermark,0.3f,"If size of the EncryptedKeyVersion cache Queue falls below the low watermark, this cache queue will be scheduled for a refill",performance
hadoop-common,hadoop.security.kms.client.encrypted.key.cache.num.refill.threads,2,Number of threads to use for refilling depleted EncryptedKeyVersion cache Queues,performance
hadoop-common,hadoop.security.kms.client.encrypted.key.cache.expiry,43200000,"Cache expiry time for a Key, after which the cache Queue for this key will be dropped. Default = 12hrs",reliability
hadoop-common,hadoop.security.kms.client.timeout,60,"Sets value for KMS client connection timeout, and the read timeout to KMS servers.",reliability
hadoop-common,hadoop.security.kms.client.failover.sleep.base.millis,100,"Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the base value used in the failover calculation. The first failover will retry immediately. The 2nd failover attempt will delay at least hadoop.security.client.failover.sleep.base.millis milliseconds. And so on.",reliability
hadoop-common,hadoop.security.kms.client.failover.sleep.max.millis,2000,"Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the maximum value to wait between failovers. Specifically, the time between two failover attempts will not exceed +/- 50% of hadoop.security.client.failover.sleep.max.millis milliseconds.",reliability
hadoop-common,ipc.server.max.connections,0,"The maximum number of concurrent connections a server is allowed to accept. If this limit is exceeded, incoming connections will first fill the listen queue and then may go to an OS-specific listen overflow queue. The client may fail or timeout, but the server can avoid running out of file descriptors using this feature. 0 means no limit.",reliability
hadoop-common,hadoop.registry.rm.enabled,FALSE,"Is the registry enabled in the YARN Resource Manager? If true, the YARN RM will, as needed. create the user and system paths, and purge service records when containers, application attempts and applications complete. If false, the paths must be created by other means, and no automatic cleanup of service records will take place.",manageability
hadoop-common,hadoop.registry.zk.root,/registry,The root zookeeper node for the registry,environment
hadoop-common,hadoop.registry.zk.session.timeout.ms,60000,Zookeeper session timeout in milliseconds,reliability
hadoop-common,hadoop.registry.zk.connection.timeout.ms,15000,Zookeeper connection timeout in milliseconds,reliability
hadoop-common,hadoop.registry.zk.retry.times,5,Zookeeper connection retry count before failing,reliability
hadoop-common,hadoop.registry.zk.retry.ceiling.ms,60000,"Zookeeper retry limit in milliseconds, during exponential backoff. This places a limit even if the retry times and interval limit, combined with the backoff policy, result in a long retry period",reliability
hadoop-common,hadoop.registry.zk.quorum,localhost:2181,List of hostname:port pairs defining the zookeeper quorum binding for the registry,environment
hadoop-common,hadoop.registry.secure,FALSE,"Key to set if the registry is secure. Turning it on changes the permissions policy from ""open access"" to restrictions on kerberos with the option of a user adding one or more auth key pairs down their own tree.",security
hadoop-common,hadoop.registry.system.acls,"sasl:yarn@, sasl:mapred@, sasl:hdfs@","A comma separated list of Zookeeper ACL identifiers with system access to the registry in a secure cluster. These are given full access to all entries. If there is an ""@"" at the end of a SASL entry it instructs the registry client to append the default kerberos domain.",security
hadoop-common,hadoop.registry.kerberos.realm,,"The kerberos realm: used to set the realm of system principals which do not declare their realm, and any other accounts that need the value. If empty, the default realm of the running process is used. If neither are known and the realm is needed, then the registry service/client will fail.",security
hadoop-common,hadoop.registry.jaas.context,Client,Key to define the JAAS context. Used in secure mode,security
hadoop-common,hadoop.shell.missing.defaultFs.warning,FALSE,Enable hdfs shell commands to display warnings if (fs.defaultFS) property is not set.,debuggability
hadoop-common,hadoop.shell.safely.delete.limit.num.files,100,"Used by -safely option of hadoop fs shell -rm command to avoid accidental deletion of large directories. When enabled, the -rm command requires confirmation if the number of files to be deleted is greater than this limit. The default limit is 100 files. The warning is disabled if the limit is 0 or the -safely is not specified in -rm command.",security
hadoop-common,fs.client.htrace.sampler.classes,,The class names of the HTrace Samplers to use for Hadoop filesystem clients.,debuggability
hadoop-common,hadoop.htrace.span.receiver.classes,,The class names of the Span Receivers to use for Hadoop.,manageability
hadoop-common,hadoop.http.logs.enabled,TRUE,"Enable the ""/logs"" endpoint on all Hadoop daemons, which serves local logs, but may be considered a security risk due to it listing the contents of a directory.",debuggability
hadoop-common,fs.client.resolve.topology.enabled,FALSE,"Whether the client machine will use the class specified by property net.topology.node.switch.mapping.impl to compute the network distance between itself and remote machines of the FileSystem. Additional properties might need to be configured depending on the class specified in net.topology.node.switch.mapping.impl. For example, if org.apache.hadoop.net.ScriptBasedMapping is used, a valid script file needs to be specified in net.topology.script.file.name.",manageability
hadoop-common,adl.feature.ownerandgroup.enableupn,FALSE,"When true : User and Group in FileStatus/AclStatus response is represented as user friendly name as per Azure AD profile. When false (default) : User and Group in FileStatus/AclStatus response is represented by the unique identifier from Azure AD profile (Object ID as GUID). For optimal performance, false is recommended.",performance
hadoop-common,fs.adl.oauth2.access.token.provider.type,ClientCredential,"Defines Azure Active Directory OAuth2 access token provider type. Supported types are ClientCredential, RefreshToken, MSI, DeviceCode, and Custom. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider.",security
hadoop-common,fs.adl.oauth2.client.id,,The OAuth2 client id.,security
hadoop-common,fs.adl.oauth2.credential,,The OAuth2 access key.,security
hadoop-common,fs.adl.oauth2.refresh.url,,The OAuth2 token endpoint.,security
hadoop-common,fs.adl.oauth2.refresh.token,,The OAuth2 refresh token.,security
hadoop-common,fs.adl.oauth2.access.token.provider,,The class name of the OAuth2 access token provider.,security
hadoop-common,fs.adl.oauth2.msi.port,,"The localhost port for the MSI token service. This is the port specified when creating the Azure VM. The default, if this setting is not specified, is 50342. Used by MSI token provider.",environment
hadoop-common,fs.adl.oauth2.devicecode.clientapp.id,,The app id of the AAD native app in whose context the auth request should be made. Used by DeviceCode token provider.,environment
hadoop-common,hadoop.caller.context.enabled,FALSE,"When the feature is enabled, additional fields are written into name-node audit log records for auditing coarse granularity operations.",debuggability
hadoop-common,hadoop.caller.context.max.size,128,"The maximum bytes a caller context string can have. If the passed caller context is longer than this maximum bytes, client will truncate it before sending to server. Note that the server may have a different maximum size, and will truncate the caller context to the maximum size it allows.",performance
hadoop-common,hadoop.caller.context.signature.max.size,40,"The caller's signature (optional) is for offline validation. If the signature exceeds the maximum allowed bytes in server, the caller context will be abandoned, in which case the caller context will not be recorded in audit logs.",security
hadoop-common,seq.io.sort.mb,100,"The total amount of buffer memory to use while sorting files, while using SequenceFile.Sorter, in megabytes. By default, gives each merge stream 1MB, which should minimize seeks.",performance
hadoop-common,seq.io.sort.factor,100,The number of streams to merge at once while sorting files using SequenceFile.Sorter. This determines the number of open file handles.,performance
hadoop-common,hadoop.zk.address,,Host:Port of the ZooKeeper server to be used.,environment
hadoop-common,hadoop.zk.num-retries,1000,Number of tries to connect to ZooKeeper.,reliability
hadoop-common,hadoop.zk.retry-interval-ms,1000,Retry interval in milliseconds when connecting to ZooKeeper.,reliability
hadoop-common,hadoop.zk.timeout-ms,10000,"ZooKeeper session timeout in milliseconds. Session expiration is managed by the ZooKeeper cluster itself, not by the client. This value is used by the cluster to determine when the client's session expires. Expirations happens when the cluster does not hear from the client within the specified session timeout period (i.e. no heartbeat).",reliability
hadoop-common,hadoop.zk.acl,world:anyone:rwcda,ACL's to be used for ZooKeeper znodes.,security
